Task,Title,index,label,confidence
Coordinate travel arrangements and travel with team to away contests.,Coaches and Scouts,3784,E2,moderate
Coordinate truck dumping.,"Paving, Surfacing, and Tamping Equipment Operators",3785,E0,high
Coordinate user or third-party testing.,Software Quality Assurance Analysts and Testers,3786,E2,high
Coordinate vulnerability assessments or analysis of information security systems.,Information Security Engineers,3787,E2,moderate
"Coordinate with agencies to meet aircrew requirements for billeting, messing, refueling, ground transportation, and transient aircraft maintenance.",Airfield Operations Specialists,3788,E0,high
"Coordinate with agencies, such as air traffic control, civil engineers, or command posts, to ensure support of airfield management activities.",Airfield Operations Specialists,3789,E2,moderate
"Coordinate with and consult other workers to design, lay out, or detail components and systems and to resolve design or other problems.",Mechanical Drafters,3790,E0,moderate
Coordinate with anesthesia personnel to maintain patient temperature.,Surgical Assistants,3791,E0,high
"Coordinate with developers to optimize Web site architecture, server configuration, or page construction for search engine consumption and optimal visibility.",Search Marketing Strategists,3792,E0,high
"Coordinate with engineers, planners, field personnel, or other utility workers to provide information such as clearances, switching orders, or distribution process changes.",Power Distributors and Dispatchers,3793,E2,moderate
Coordinate with federal land managers and other agencies and organizations to manage and protect rangelands.,Range Managers,3794,E0,high
"Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs.",Advertising and Promotions Managers,3795,E0,moderate
Coordinate with or assist law enforcement agencies in matters of mutual concern.,Government Property Inspectors and Investigators,3796,E0,high
"Coordinate with other professionals, such as contractors, architects, engineers, and plumbers, to ensure job success.",Interior Designers,3797,E0,moderate
"Coordinate with outside staffing agencies to secure temporary employees, based on departmental needs.",Human Resources Specialists,3798,E2,moderate
"Coordinate with risk management, human resources, or other departments to assist in company programs, investigations, or training.",Retail Loss Prevention Specialists,3799,E0,moderate
Coordinate with the media to disseminate advertising.,Advertising and Promotions Managers,3800,E1,moderate
"Coordinate with treatment center personnel to obtain patients' vital statistics and medical history, to determine the circumstances of the emergency, and to administer emergency treatment.",Paramedics,3801,E0,high
Coordinate with vendors and with company personnel to facilitate purchases.,Network and Computer Systems Administrators,3802,E1,high
Coordinate work activities with other construction project activities.,First-Line Supervisors of Construction Trades and Extraction Workers,3803,E0,high
Coordinate work assignment preparation and completion with other workers.,Electrical Power-Line Installers and Repairers,3804,E0,high
Coordinate work with clerical personnel or other technologists and technicians.,Radiologic Technologists and Technicians,3805,E1,high
Coordinate work with drywall finishers who cover the seams between drywall panels.,Drywall and Ceiling Tile Installers,3806,E0,high
Coordinate work with economic consultants or architects during the formulation of plans or the design of large pieces of infrastructure.,Urban and Regional Planners,3807,E0,moderate
"Coordinate work with nurses, social workers, rehabilitation therapists, pharmacists, psychologists, and other health care providers.",Family Medicine Physicians,3808,E0,high
Coordinate work with other emergency medical team members or police or fire department personnel.,Emergency Medical Technicians Paramedics,3809,E2,moderate
"Coordinate work with physicians or other healthcare team members, including providing assistance during invasive procedures.",Diagnostic Medical Sonographers,3810,E0,high
"Coordinate work with that of engineers, technicians, and other aircraft maintenance personnel.",Avionics Technicians,3811,E2,moderate
"Coordinate, monitor, or revise complaint procedures to ensure timely processing and review of complaints.",Equal Opportunity Representatives and Officers,3812,E1,high
"Coordinate, prepare, or review regulatory submissions for domestic or international projects.",Regulatory Affairs Specialists,3813,E0,high
Copy and attach load specifications to loaded tanks.,"Tank Car, Truck, and Ship Loaders",3814,E0,high
Copy and distribute classroom materials.,"Teaching Assistants, Postsecondary",3815,E0,high
Copy drawings of printed circuit board fabrication using print machine or blueprinting procedure.,Electrical and Electronics Drafters,3816,E0,high
Copy drawings on rough clay or plaster models.,"Stone Cutters and Carvers, Manufacturing",3817,E2,moderate
"Copy or summarize recorded documents, such as mortgages, trust deeds, and contracts, that affect property titles.","Title Examiners, Abstractors, and Searchers",3818,E1,high
Copy parts from scores for individual performers.,Music Directors and Composers,3819,E0,high
Correct deformities by means of plaster casts and strapping.,Podiatrists,3820,E0,high
Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,Computer Programmers,3821,E1,high
"Correct machinery malfunctions by performing actions such as removing jams, and inform supervisors of malfunctions as necessary.",Cooling and Freezing Equipment Operators and Tenders,3822,E0,high
"Correct or record omissions, errors, or inconsistencies found.",Proofreaders and Copy Markers,3823,E1,high
Correct patterns to compensate for defects in castings.,"Patternmakers, Wood",3824,E2,moderate
Correct problems by adjusting controls or by stopping machines and opening holding devices.,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",3825,E0,high
Correct raw data for errors due to factors such as skew or atmospheric variation.,Remote Sensing Technicians,3826,E2,moderate
"Correct surface imperfections or fill chipped, cracked, or broken bricks or tiles, using fillers, adhesives, or grouting materials.","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",3827,E0,high
"Correct testing-identified problems, or recommend actions for their resolution.",Web Administrators,3828,E0,high
"Correlate, interpret, and modify data obtained from topographical surveys, well logs, and geophysical prospecting reports.",Architectural and Civil Drafters,3829,E2,moderate
"Correspond with customers and confer with coworkers to answer inquiries, discuss market fluctuations, or resolve account problems.",Brokerage Clerks,3830,E1,moderate
Correspond with insured or agent to obtain information or to inform them of account status or changes.,Insurance Claims and Policy Processing Clerks,3831,E1,high
"Correspond with online customers via electronic mail, telephone, or other electronic messaging to address questions or complaints about products, policies, or shipping methods.",Online Merchants,3832,E1,high
Counsel and encourage patients to develop leisure activities.,Recreational Therapists,3833,E0,high
Counsel and instruct patients and their families in techniques to improve hearing and communication related to hearing loss.,Audiologists,3834,E0,high
"Counsel and provide guidance to students regarding personal, academic, vocational, or behavioral issues.","Education Administrators, Kindergarten through Secondary",3835,E0,high
Counsel children and families to help solve conflicts and problems in learning and adjustment.,School Psychologists,3836,E0,high
Counsel clients about the deaths of their pets or about euthanasia decisions for their pets.,Veterinarians,3837,E2,moderate
"Counsel clients and patients in individual and group sessions to help them overcome dependencies, recover from illness, and adjust to life.",Healthcare Social Workers,3838,E0,high
"Counsel clients in individual or group sessions to assist them in dealing with substance abuse, mental or physical illness, poverty, unemployment, or physical abuse.",Mental Health and Substance Abuse Social Workers,3839,E0,high
"Counsel clients on concerns, such as unsatisfactory relationships, divorce and separation, child rearing, home management, or financial difficulties.",Marriage and Family Therapists,3840,E0,high
"Counsel clients on personal and family financial problems, such as excessive spending or borrowing of funds.",Loan Officers,3841,E0,moderate
"Counsel clients or patients, individually or in group sessions, to assist in overcoming dependencies, adjusting to life, or making changes.",Mental Health Counselors Substance Abuse and Behavioral Disorder Counselors,3842,E0,high
Counsel employees about work-related issues and assist employees to correct job-skill deficiencies.,"First-Line Supervisors of Mechanics, Installers, and Repairers",3843,E0,moderate
"Counsel employees in work-related activities, personal growth, or career development.","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",3844,E0,moderate
"Counsel family members to assist them in understanding, dealing with, and supporting clients or patients.",Substance Abuse and Behavioral Disorder Counselors,3845,E0,high
"Counsel family members to assist them in understanding, dealing with, or supporting clients or patients.",Mental Health Counselors,3846,E0,high
"Counsel individuals and groups on basic rules of good nutrition, healthy eating habits, and nutrition monitoring to improve their quality of life.",Dietitians and Nutritionists,3847,E2,moderate
"Counsel individuals or groups concerning their spiritual, emotional, or personal needs.",Clergy,3848,E2,moderate
"Counsel individuals regarding interpersonal, health, financial, or religious problems.","Directors, Religious Activities and Education",3849,E1,moderate
"Counsel individuals to help them understand and overcome personal, social, or behavioral problems affecting their educational or vocational situations.","Educational, Guidance, and Career Counselors and Advisors",3850,E0,high
"Counsel individuals, groups, families, or communities regarding issues including mental health, poverty, unemployment, substance abuse, physical abuse, rehabilitation, social adjustment, child care, or medical care.","Child, Family, and School Social Workers",3851,E2,moderate
"Counsel individuals, groups, or families to help them understand problems, deal with crisis situations, define goals, and develop realistic action plans.",Clinical and Counseling Psychologists,3852,E0,high
"Counsel inmates and respond to legitimate questions, concerns, and requests.",Correctional Officers and Jailers,3853,E1,high
"Counsel newly hired members of minority or disadvantaged groups, informing them about details of civil rights laws.",Equal Opportunity Representatives and Officers,3854,E1,high
"Counsel or aid family members to assist them in understanding, dealing with, or supporting the client or patient.",Mental Health and Substance Abuse Social Workers,3855,E0,high
Counsel outpatients or other patients during office visits.,Psychiatrists,3856,E0,high
"Counsel parents with child rearing problems, interviewing the child and family to determine whether further action is required.","Child, Family, and School Social Workers",3857,E0,high
"Counsel patients about drug regimens and possible side effects or interactions with other substances, such as food supplements, over-the-counter (OTC) medications, or herbal remedies.",Nurse Practitioners,3858,E0,high
"Counsel patients about nutrition, exercise, sleeping habits, stress management, or other matters.",Chiropractors,3859,E0,high
Counsel patients and families on communication strategies and the effects of hearing loss.,Hearing Aid Specialists,3860,E0,high
"Counsel patients on topics such as the need for annual dermatologic screenings, sun protection, skin cancer awareness, or skin and lymph node self-examinations.",Dermatologists,3861,E0,high
"Counsel patients or others on the background of neurological disorders including risk factors, or genetic or environmental concerns.",Neurologists,3862,E1,high
"Counsel student athletes on academic, athletic, and personal issues.",Coaches and Scouts,3863,E0,high
"Counsel students in the handling of issues such as family, financial, and educational problems.",Residential Advisors,3864,E0,high
"Counsel students regarding educational issues, such as course and program selection, class scheduling and registration, school adjustment, truancy, study habits, and career planning.","Educational, Guidance, and Career Counselors and Advisors",3865,E0,high
"Counsel students whose behavior, school progress, or mental or physical impairment indicate a need for assistance, diagnosing students' problems and arranging for needed services.","Child, Family, and School Social Workers",3866,E0,high
Counsel students with adjustment or academic problems.,"Substitute Teachers, Short-Term",3867,E0,moderate
Counsel women regarding the nutritional requirements of pregnancy.,Midwives,3868,E0,high
Counsel workers about job and career-related issues.,Industrial-Organizational Psychologists,3869,E0,moderate
Count and record finished and rejected packaged items.,Packaging and Filling Machine Operators and Tenders,3870,E0,moderate
Count and record number of tickets collected.,"Ushers, Lobby Attendants, and Ticket Takers",3871,E0,high
Count and verify tickets and seat reservations and record numbers of passengers boarding and disembarking.,Passenger Attendants,3872,E1,high
"Count cash and review transactions, sales checks, or register tapes to verify amounts or to identify shortages.",Private Detectives and Investigators,3873,E2,moderate
"Count currency, coins, and checks received, by hand or using currency-counting machine, to prepare them for deposit or shipment to branch banks or the Federal Reserve Bank.",Tellers,3874,E2,moderate
Count finished products to determine if product orders are complete.,Helpers--Production Workers,3875,E0,high
Count funds and reconcile daily summaries of transactions to balance books.,Gambling Cage Workers,3876,E1,high
Count money and audit money drawers.,Gambling Change Persons and Booth Cashiers,3877,E0,high
Count money and make bank deposits.,Food Service Managers,3878,E0,moderate
Count money in cash drawers at the beginning of shifts to ensure that amounts are correct and that there is adequate change.,Cashiers,3879,E0,moderate
"Count numbers of chromosomes and identify the structural abnormalities by viewing culture slides through microscopes, light microscopes, or photomicroscopes.",Cytogenetic Technologists,3880,E0,moderate
"Count or estimate quantities of materials, parts, or products received or shipped.","Weighers, Measurers, Checkers, and Samplers, Recordkeeping",3881,E1,high
Count or weigh and bundle items.,"Cutters and Trimmers, Hand",3882,E0,high
Count sections of drill rod to determine depths of boreholes.,"Rotary Drill Operators, Oil and Gas",3883,E0,high
"Count sponges, needles, and instruments before and after operation.",Surgical Technologists,3884,E0,high
"Count, sort, and weigh processed items.",Semiconductor Processing Technicians,3885,E0,high
"Count, sort, or stack finished workpieces.","Sawing Machine Setters, Operators, and Tenders, Wood",3886,E0,high
"Count, verify, and post armored car deposits.",Tellers,3887,E0,high
"Count, weigh, measure, or organize materials.","Office Clerks, General",3888,E1,moderate
"Countersink nails or screws below surfaces of walls before applying sealing compounds, using hammers or screwdrivers.",Tapers,3889,E0,high
Couple air and gas lines to machines to maintain plasticity of material and to regulate solidification of final products.,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",3890,E0,high
Couple and uncouple air hoses and electrical connections between cars.,"Rail Yard Engineers, Dinkey Operators, and Hostlers",3891,E0,high
"Couple or uncouple trailers by changing trailer jack positions, connecting or disconnecting air or electrical lines, or manipulating fifth-wheel locks.",Heavy and Tractor-Trailer Truck Drivers,3892,E0,high
"Cover and line structures with blown or rolled forms of materials to insulate against cold, heat, or moisture, using saws, knives, rasps, trowels, blowers, or other tools and implements.","Insulation Workers, Floor, Ceiling, and Wall",3893,E0,high
"Cover areas to specified depths with pesticides, applying knowledge of weather conditions, droplet sizes, elevation-to-distance ratios, and obstructions.","Pesticide Handlers, Sprayers, and Applicators, Vegetation",3894,E0,moderate
Cover exposed nailheads with roofing cement or caulking to prevent water leakage or rust.,Roofers,3895,E0,high
"Cover interior walls and ceilings of rooms with decorative wallpaper or fabric, using hand tools.",Paperhangers,3896,E0,high
"Cover or pad metal or plastic structures or devices, using coverings such as rubber, leather, felt, plastic, or fiberglass.",Medical Appliance Technicians,3897,E0,high
Cover patients with surgical drapes to create and maintain a sterile operative field.,Surgical Assistants,3898,E0,high
Cover pipes with earth or other materials.,Pipelayers,3899,E0,high
"Cover repaired pipes with dirt, and pack backfilled excavations, using air and gasoline tampers.",Septic Tank Servicers and Sewer Pipe Cleaners,3900,E0,high
"Cover roofs or exterior walls of structures with slate, asphalt, aluminum, wood, gravel, gypsum, or related materials, using brushes, knives, punches, hammers, or other tools.",Roofers,3901,E0,high
"Cover roofs with layers of roofing felt or asphalt strips before installing tile, slate, or composition materials.",Helpers--Roofers,3902,E0,high
"Cover subfloors with building paper to keep out moisture and lay hardwood, parquet, or wood-strip-block floors by nailing floors to subfloor or cementing them to mastic or asphalt base.",Carpenters,3903,E0,high
"Cover surfaces such as windows, doors, or sidewalks to protect from splashing.",Plasterers and Stucco Masons,3904,E0,high
Cover surfaces with dropcloths or masking tape and paper to protect surfaces during painting.,"Painters, Construction and Maintenance",3905,E0,high
Cover surfaces with laminated plastic covering material.,Helpers--Carpenters,3906,E0,high
"Cover treadles with carpeting or other floor covering materials, and test systems by operating treadles.",Mechanical Door Repairers,3907,E0,high
"Cover, seal, or finish insulated surfaces or access holes with plastic covers, canvas strips, sealants, tape, cement or asphalt mastic.","Insulation Workers, Floor, Ceiling, and Wall",3908,E0,high
"Cover, seal, or finish insulated surfaces or access holes with plastic covers, canvas strips, sealants, tape, cement, or asphalt mastic.","Insulation Workers, Mechanical",3909,E0,high
"Crank machines through cycles, stopping to adjust tool positions and machine controls to ensure specified timing, clearances, and tolerances.","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3910,E0,high
Crank trailer landing gear up or down to safely secure vehicles.,Heavy and Tractor-Trailer Truck Drivers,3911,E0,high
"Create Web models or prototypes that include physical, interface, logical, or data models.",Web and Digital Interface Designers Web Developers,3912,E0,high
"Create a master pattern for each size within a range of garment sizes, using charts, drafting instruments, computers, or grading devices.",Fabric and Apparel Patternmakers,3913,E2,moderate
Create a model of patient's mouth by pouring plaster into a dental impression and allowing plaster to set.,Dental Laboratory Technicians,3914,E0,high
Create a paper pattern from which to mass-produce a design concept.,Fabric and Apparel Patternmakers,3915,E2,moderate
Create action plans to assist clients in obtaining permanent housing via rent or mortgage programs.,Credit Counselors,3916,E2,moderate
"Create and change in-store and window displays, designs, and looks to enhance a shop's image.",Floral Designers,3917,E0,high
Create and enforce database development standards.,Database Architects,3918,E2,moderate
Create and explore new cuisines.,"Cooks, Private Household",3919,E2,moderate
Create and implement inspection and testing criteria or procedures.,Quality Control Systems Managers,3920,E0,high
"Create and install special effects as required by the script, mixing chemicals and fabricating needed parts from wood, metal, plaster, and clay.",Special Effects Artists and Animators,3921,E0,high
Create and lay out designs for drill and blast patterns.,"Earth Drillers, Except Oil and Gas Explosives Workers, Ordnance Handling Experts, and Blasters",3922,E2,moderate
Create and maintain a database of completed appraisals.,Appraisers of Personal and Business Property,3923,E2,moderate
"Create and maintain accessible, retrievable computer archives and databases, incorporating current advances in electronic information storage technology.",Archivists,3924,E2,moderate
"Create and maintain logs, records, or databases of information about fraudulent activity.","Fraud Examiners, Investigators and Analysts",3925,E1,high
"Create and maintain sustainability program documents, such as schedules and budgets.",Chief Sustainability Officers,3926,E1,high
"Create and manage documentation, production schedules, prototyping goals, and communication plans in collaboration with production staff.",Video Game Designers,3927,E2,moderate
"Create and modify maps, graphs, or diagrams, using geographical information software and related equipment, and principles of cartography, such as coordinate systems, longitude, latitude, elevation, topography, and map scales.",Geographers,3928,E0,high
"Create and prepare sketches and model drawings of cartoon characters, providing details from memory, live models, manufactured products, or reference materials.","Fine Artists, Including Painters, Sculptors, and Illustrators",3929,E0,high
"Create and transfer reference images and localization markers for treatment delivery, using image-guided radiation therapy.",Medical Dosimetrists,3930,E2,moderate
"Create artificial light, using flashes and reflectors.",Photographers,3931,E2,moderate
Create back-ups of robot programs or parameters.,Robotics Engineers,3932,E1,high
Create backup copies of images by transferring images from disk to storage media or workstation.,Magnetic Resonance Imaging Technologists,3933,E0,high
"Create basic designs, drawings, and illustrations for product labels, cartons, direct mail, or television.",Special Effects Artists and Animators,3934,E0,high
"Create billing documents, shipping labels, credit memorandums, or credit forms.",Billing and Posting Clerks,3935,E1,moderate
Create business continuity and disaster recovery budgets.,Business Continuity Planners,3936,E2,moderate
"Create business intelligence tools or systems, including design of related databases, spreadsheets, or outputs.",Business Intelligence Analysts,3937,E2,moderate
"Create character drawings or models, based upon independent research, to augment period production files.","Makeup Artists, Theatrical and Performance",3938,E2,moderate
Create checklists for review or inspection of completed solar installation projects.,Solar Energy Systems Engineers,3939,E2,moderate
Create chromosome images using computer imaging systems.,Cytogenetic Technologists,3940,E0,high
Create client presentations of plan details.,Financial and Investment Analysts,3941,E1,moderate
"Create complex and dynamic mathematical models of population, community, or ecological systems.",Industrial Ecologists,3942,E0,high
"Create computer models of patterns or parts, using modeling software.","Patternmakers, Metal and Plastic",3943,E0,high
Create content strategies for digital media.,Search Marketing Strategists,3944,E2,moderate
"Create core game features, including storylines, role-play mechanics, and character biographies for a new video game or game franchise.",Video Game Designers,3945,E2,moderate
Create custom illustrations or other graphic elements.,Art Directors,3946,E2,moderate
Create customized energy management packages to satisfy customer needs.,Solar Sales Representatives and Assessors,3947,E2,moderate
Create data management or error-checking procedures and user manuals.,Bioinformatics Technicians,3948,E1,high
"Create data records for use in describing and analyzing social patterns and processes, using photography, videography, and audio recordings.",Anthropologists and Archeologists,3949,E0,moderate
"Create debt management plans, spending plans, or budgets to assist clients to meet financial goals.",Credit Counselors,3950,E2,moderate
"Create decorative textures in finish coat, using brushes or trowels, sand, pebbles, or stones.",Plasterers and Stucco Masons,3951,E0,high
"Create design alternatives for vehicle components, such as camless or dual-clutch engines or alternative air-conditioning systems, to increase fuel efficiency.",Automotive Engineers,3952,E2,moderate
Create design specifications to provide instructions on garment sewing and assembly.,Fabric and Apparel Patternmakers,3953,E0,high
"Create designs or prototypes for nanosystem applications, such as biomedical delivery systems or atomic force microscopes.",Nanosystems Engineers,3954,E0,high
"Create designs, concepts, and sample layouts, based on knowledge of layout principles and esthetic design concepts.",Graphic Designers,3955,E2,moderate
Create developmentally appropriate lesson plans.,Childcare Workers,3956,E1,high
"Create diagrams to communicate environmental remediation planning, using geographic information systems (GIS), computer-aided design (CAD), or other mapping or diagramming software.",Environmental Restoration Planners,3957,E2,moderate
Create drink recipes.,Bartenders,3958,E1,high
"Create electrical single-line diagrams, panel schedules, or connection diagrams for solar electric systems, using computer-aided design (CAD) software.",Solar Energy Systems Engineers,3959,E2,moderate
Create embedded software design programs.,Mechatronics Engineers,3960,E2,moderate
"Create environmental models or simulations, using geographic information system (GIS) data and knowledge of particular ecosystems or ecological regions.",Environmental Restoration Planners,3961,E2,moderate
"Create finished art work as decoration, or to elucidate or substitute for spoken or written messages.","Fine Artists, Including Painters, Sculptors, and Illustrators",3962,E0,high
Create forms or agreements to complete sales.,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",3963,E1,high
Create freehand drawings and lettering to accompany drawings.,Architectural and Civil Drafters,3964,E2,moderate
"Create functional or decorative objects by hand, using a variety of methods and materials.",Craft Artists,3965,E0,high
Create gameplay prototypes for presentation to creative and technical staff and management.,Video Game Designers,3966,E0,moderate
Create gameplay test plans for internal and external test groups.,Video Game Designers,3967,E1,high
"Create graphics, illustrations, and three-dimensional models to be used in research or in teaching, such as in demonstrating anatomy, pathology, or surgical procedures.","Fine Artists, Including Painters, Sculptors, and Illustrators",3968,E0,high
"Create graphs, charts, or other visualizations to convey the results of data analysis using specialized software.",Data Scientists,3969,E0,high
"Create habitat management or restoration plans, such as native tree restoration and weed control.",Environmental Restoration Planners,3970,E1,high
Create itemized invoices to record amounts due for services rendered.,"Disc Jockeys, Except Radio",3971,E1,high
"Create jewelry from materials such as gold, silver, platinum, and precious or semiprecious stones.",Jewelers and Precious Stone and Metal Workers,3972,E0,high
Create landscapes that minimize water consumption such as by incorporating drought-resistant grasses or indigenous plants.,Landscape Architects,3973,E0,high
"Create marketing or outreach media, such as brochures or Web sites, to communicate sustainability issues, procedures, or objectives.",Sustainability Specialists,3974,E1,high
"Create mechanical design documents for parts, assemblies, or finished products.",Mechatronics Engineers,3975,E2,moderate
Create mechanical models to simulate mechatronic design concepts.,Mechatronics Engineers,3976,E0,high
"Create models or scenarios to predict the impact of changing circumstances, such as fuel costs, road pricing, energy taxes, or carbon emissions legislation.",Logistics Engineers,3977,E2,moderate
Create models to demonstrate or predict the process by which pollutants move through or impact an environment.,Environmental Engineering Technologists and Technicians,3978,E2,moderate
"Create models to optimize the layout of wind farm access roads, crane pads, crane paths, collection systems, substations, switchyards, or transmission lines.",Wind Energy Engineers,3979,E0,moderate
"Create musical instrument digital interface programs for music projects, commercials, or film postproduction.",Sound Engineering Technicians,3980,E2,moderate
"Create new jewelry designs and modify existing designs, using computers as necessary.",Jewelers and Precious Stone and Metal Workers,3981,E2,moderate
Create novel computational approaches and analytical tools as required by research goals.,Bioinformatics Scientists,3982,E1,moderate
"Create openings in buildings for ventilation or entrance, using axes, chisels, crowbars, electric saws, or core cutters.",Firefighters,3983,E0,high
Create or administer training and awareness presentations or materials.,Business Continuity Planners,3984,E2,moderate
"Create or distribute offline promotional material, such as brochures, pamphlets, business cards, stationary, or signage.",Online Merchants,3985,E2,moderate
Create or enforce hydrostation voltage schedules.,Hydroelectric Production Managers,3986,E0,high
"Create or enhance mannequin faces by mixing and applying paint or attaching measured eyelash strips, using artist's brush, airbrush, pins, ruler, or scissors.",Merchandise Displayers and Window Trimmers,3987,E0,high
Create or implement metadata processes and frameworks.,Data Warehousing Specialists,3988,E0,high
"Create or implement security standards, policies, and procedures.",Security Managers,3989,E2,moderate
"Create or interpret engineering drawings, schematic diagrams, formulas, or blueprints for management or engineering staff.",Industrial Engineering Technologists and Technicians,3990,E0,high
Create or maintain database of customer accounts.,Online Merchants,3991,E1,moderate
Create or maintain databases of known test defects.,Software Quality Assurance Analysts and Testers,3992,E2,moderate
"Create or maintain formal engineering documents, such as schematics, bills of materials, components or materials specifications, or packaging requirements.",Microsystems Engineers,3993,E1,high
Create or maintain inclines or ramps.,"Excavating and Loading Machine and Dragline Operators, Surface Mining",3994,E0,high
Create or maintain photonic design histories.,Photonics Engineers,3995,E2,moderate
Create or maintain plans or other documents related to sustainability projects.,Sustainability Specialists,3996,E1,high
"Create or maintain wind farm layouts, schematics, or other visual documentation for wind farms.",Wind Energy Engineers,3997,E0,moderate
Create or manage recycling operations budgets.,Recycling Coordinators,3998,E2,moderate
Create or modify impressions for earmolds and hearing aid shells.,Hearing Aid Specialists,3999,E0,high
Create or modify web-based bioinformatics tools.,Bioinformatics Scientists,4000,E2,moderate
Create or review technical design documentation to ensure the accurate development of reporting solutions.,Business Intelligence Analysts,4001,E1,high
"Create or revise user instructions, procedures, or manuals.",Computer Network Support Specialists,4002,E2,moderate
Create or update donor databases.,Fundraisers,4003,E1,high
Create or update technical documentation for network installations or changes to existing installations.,Computer Network Support Specialists,4004,E1,high
Create or use statistical models for the analysis of genetic data.,Geneticists,4005,E2,moderate
"Create original musical forms, or write within circumscribed musical forms such as sonatas, symphonies, or operas.",Music Directors and Composers,4006,E2,moderate
"Create patterns on glass by etching, sandblasting, or painting designs.",Glaziers,4007,E0,high
"Create pen-and-paper images to be scanned, edited, colored, textured, or animated by computer.",Special Effects Artists and Animators,4008,E2,moderate
"Create photographic recordings of information, using equipment.","Geological Technicians, Except Hydrologic Technicians",4009,E0,high
"Create plans for solar energy system development, monitoring, and evaluation activities.",Solar Energy Systems Engineers,4010,E0,high
"Create plans, test files, and scripts for data warehouse testing, ranging from unit to integration testing.",Data Warehousing Specialists,4011,E1,moderate
Create prints according to customer specifications and laboratory protocols.,Photographic Process Workers and Processing Machine Operators,4012,E0,high
Create project status presentations for delivery to customers or project personnel.,Project Management Specialists,4013,E2,moderate
Create prototypes or models of objects to be crafted.,Craft Artists,4014,E2,moderate
Create sales or service contracts for products or services.,Sales Engineers,4015,E1,high
Create scenarios to reestablish operations from various types of business disruptions.,Business Continuity Planners,4016,E1,high
"Create schematics and physical layouts of integrated microelectromechanical systems (MEMS) components or packaged assemblies consistent with process, functional, or package constraints.",Microsystems Engineers,4017,E0,high
"Create school improvement plans, using student performance data.","Education Administrators, Kindergarten through Secondary",4018,E2,moderate
"Create sculptures, statues, and other three-dimensional artwork by using abrasives and tools to shape, carve, and fabricate materials such as clay, stone, wood, or metal.","Fine Artists, Including Painters, Sculptors, and Illustrators",4019,E0,high
Create searchable indices for Web page content.,Web and Digital Interface Designers,4020,E1,moderate
Create signs to advertise store products or events.,Baristas,4021,E1,high
Create simulations or models of radio frequency identification device (RFID) systems to provide information for selection and configuration.,Radio Frequency Identification Device Specialists,4022,E2,moderate
"Create sketches and diagrams, by hand or computer software, to depict crime scenes.",Police Identification and Records Officers,4023,E0,high
"Create sketches, profiles, or likenesses of posed subjects or photographs, using any combination of freehand drawing, mechanical assembly kits, and computer imaging.","Fine Artists, Including Painters, Sculptors, and Illustrators",4024,E2,moderate
"Create special effects such as vignettes, mosaics, and image combining, and add elements such as sound and animation to electronic publications.",Desktop Publishers,4025,E2,moderate
Create specialty dishes and develop recipes to be used in dining facilities.,Food Service Managers,4026,E0,high
"Create supporting documentation, such as metadata and diagrams of entity relationships, business processes, and process flow.",Data Warehousing Specialists,4027,E2,moderate
Create system images or capture network settings from information technology environments to preserve as evidence.,Digital Forensics Analysts,4028,E2,moderate
Create tailored playlists by aligning music with event functions.,"Disc Jockeys, Except Radio",4029,E2,moderate
"Create three-dimensional images of the eye, using computed tomography (CT).",Ophthalmic Medical Technologists,4030,E0,high
"Create three-dimensional or interactive representations of designs, using computer-assisted design software.","Architects, Except Landscape and Naval",4031,E2,moderate
"Create two-dimensional and three-dimensional images depicting objects in motion or illustrating a process, using computer animation or modeling programs.",Special Effects Artists and Animators,4032,E0,high
"Create visual representations of geospatial data, using complex procedures such as analytical modeling, three-dimensional renderings, or plot creation.",Geographic Information Systems Technologists and Technicians,4033,E2,moderate
"Create visualizations to illustrate historical or future changes in the Earth's climate, using paleoclimate or climate geographic information systems (GIS) databases.",Atmospheric and Space Scientists,4034,E2,moderate
"Create wind energy project plans, including project scope, goals, tasks, resources, schedules, costs, contingencies, or other project information.",Wind Energy Development Managers,4035,E2,moderate
"Create worksheets for dressing lists, show notes, or costume checks.",Costume Attendants,4036,E1,high
"Create, analyze, report, convert, or transfer data, using specialized applications program software.",Geographic Information Systems Technologists and Technicians,4037,E2,moderate
"Create, layer, and analyze maps showing precision agricultural data, such as crop yields, soil characteristics, input applications, terrain, drainage patterns, or field management history.",Precision Agriculture Technicians,4038,E2,moderate
"Create, maintain, and enter information into databases.","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",4039,E1,high
"Create, manage, or automate orders or invoices, using order management or invoicing software.",Online Merchants,4040,E2,moderate
"Create, populate, or maintain databases for tracking validation activities, test results, or validated systems.",Validation Engineers,4041,E1,moderate
"Create, prepare, or requisition graphic or narrative reports on land use data, including land area maps overlaid with geographic variables, such as population density.",Urban and Regional Planners,4042,E2,moderate
